title,genres,id,keywords,original_language,popularity,release_date,revenue,runtime,vote_average,cast,budget
Alice in Wonderland,Family Fantasy Adventure,12155,based on novel fictional place queen fantasy alice in wonderland,en,78.530105,03-03-2010,1025491110,108,6.4,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,200000000
X-Men: The Last Stand,Adventure Action Science Fiction Thriller,36668,mutant marvel comic based on comic book superhuman beast,en,3.857526,24-05-2006,459359555,104,6.3,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,210000000
Monsters University,Animation Family,62211,monster dormitory games animation best friend,en,89.186492,20-06-2013,743559607,104,7,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,200000000
Transformers: Revenge of the Fallen,Science Fiction Action Adventure,8373,egypt sun chaos symbol artifact,en,21.939663,19-06-2009,836297228,150,6,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,150000000
Transformers: Age of Extinction,Science Fiction Action Adventure,91314,sequel alien transformers giant robot robot,en,116.840296,25-06-2014,1091405097,165,5.8,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,210000000
Oz: The Great and Powerful,Fantasy Adventure Family,68728,circus witch magic hope illusion,en,46.985445,07-03-2013,491868548,130,5.7,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,200000000
The Amazing Spider-Man 2,Action Adventure Fantasy,102382,obsession marvel comic sequel based on comic book electrocution,en,89.270217,16-04-2014,705717432,142,6.5,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,200000000
TRON: Legacy,Adventure Action Science Fiction,20526,artificial intelligence secret identity computer program dystopia computer,en,73.79505,10-12-2010,400062763,125,6.3,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,170000000
Cars 2,Animation Family Adventure Comedy,49013,car race sequel comedy anthropomorphism best friend,en,49.98659,11-06-2011,559852396,106,5.8,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,200000000
Green Lantern,Adventure Action Thriller Science Fiction,44912,dc comics transformation superhero alien alien infection,en,51.872839,16-06-2011,219851172,114,5.1,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,200000000
Toy Story 3,Animation Family Comedy,10193,hostage college toy barbie animation,en,59.995418,16-06-2010,1066969703,103,7.6,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,200000000
Terminator Salvation,Action Science Fiction Thriller,534,saving the world artificial intelligence prophecy san francisco cyborg,en,71.862892,20-05-2009,371353001,115,5.9,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,200000000
Furious 7,Action,168259,car race speed revenge suspense car,en,102.322217,01-04-2015,1506249360,137,7.3,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,190000000
World War Z,Action Drama Horror Science Fiction Thriller,72190,dystopia apocalypse zombie nuclear weapons multiple perspectives,en,81.834855,20-06-2013,531865000,116,6.7,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,200000000
X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,127585,1970s mutant time travel marvel comic based on comic book,en,118.078691,15-05-2014,747862775,131,7.5,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,250000000
Star Trek Into Darkness,Action Adventure Science Fiction,54138,spacecraft friendship sequel futuristic space,en,78.291018,05-05-2013,467365246,132,7.4,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,190000000
Jack the Giant Slayer,Action Family Fantasy,81005,based on fairy tale giant,en,43.349855,27-02-2013,197687603,114,5.5,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,195000000
The Great Gatsby,Drama Romance,64682,based on novel infidelity obsession hope 3d,en,61.196071,10-05-2013,351040419,143,7.3,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,105000000
Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,9543,persia sandstorm brother against brother armageddon regent,en,62.169881,19-05-2010,335154643,116,6.2,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,150000000
Pacific Rim,Action Science Fiction Adventure,68726,dystopia giant robot giant monster apocalypse imax,en,56.523205,11-07-2013,407602906,131,6.7,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,180000000
Transformers: Dark of the Moon,Action Science Fiction Adventure,38356,moon spacecraft traitor bodyguard alien planet,en,28.529607,28-06-2011,1123746996,154,6.1,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,195000000
Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,217,saving the world riddle whip treasure mexico city,en,75.674458,21-05-2008,786636033,122,5.7,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,185000000
The Good Dinosaur,Adventure Animation Family,105864,tyrannosaurus rex friends alternate history dinosaur fear,en,51.692953,14-11-2015,331926147,93,6.6,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,175000000
Brave,Animation Adventure Comedy Family Action,62177,scotland rebel bravery kingdom archer,en,125.114374,21-06-2012,538983207,93,6.7,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,185000000
Star Trek Beyond,Action Adventure Science Fiction,188927,sequel stranded hatred space opera,en,65.352913,07-07-2016,343471816,122,6.6,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,185000000
WALLÂ·E,Animation Family,10681,romantic comedy,en,66.390712,22-06-2008,521311860,98,7.8,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,180000000
Rush Hour 3,Action Comedy Crime Thriller,5174,ambassador,en,22.57178,08-08-2007,258022233,91,6.1,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,140000000
2012,Action Adventure Science Fiction,14161,civilization natural disaster end of the world disaster apocalypse,en,45.274225,10-10-2009,769653595,158,5.6,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,200000000
A Christmas Carol,Animation Drama,17979,holiday based on novel victorian england money christmas eve,en,39.744242,04-11-2009,325233863,96,6.6,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,200000000
Jupiter Ascending,Science Fiction Fantasy Action Adventure,76757,jupiter space woman director 3d interspecies romance,en,85.36908,04-02-2015,183987723,124,5.2,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,176000003
The Legend of Tarzan,Action Adventure,258489,africa feral child tarzan jungle animal attack,en,42.741719,29-06-2016,356743061,109,5.5,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,180000000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,411,saving the world witch based on novel brother sister relationship self sacrifice,en,67.391328,07-12-2005,748806957,143,6.7,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,180000000
X-Men: Apocalypse,Science Fiction,246655,mutant supernatural powers marvel comic superhero based on comic book,en,139.272042,18-05-2016,543934787,144,6.4,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,178000000
The Dark Knight,Drama Action Crime Thriller,155,dc comics crime fighter secret identity scarecrow sadism,en,187.322927,16-07-2008,1004558444,152,8.2,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,185000000
Up,Animation Comedy Family Adventure,14160,age difference central and south america balloon animation floating in the air,en,92.201962,13-05-2009,735099082,96,7.7,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,175000000
Monsters vs Aliens,Animation Family Adventure Science Fiction,15512,alien giant robot duringcreditsstinger,en,36.167578,19-03-2009,381509870,94,6,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,175000000
Iron Man,Action Science Fiction Adventure,1726,middle east arms dealer malibu marvel comic superhero,en,120.725053,30-04-2008,585174222,126,7.4,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,140000000
Hugo,Adventure Drama Family,44826,library clock film director key toy,en,32.319043,22-11-2011,185770160,126,7,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,170000000
Wild Wild West,Action Adventure Comedy Science Fiction Western,8487,steampunk based on tv series steam locomotive drag,en,40.748915,29-06-1999,222104681,106,5.1,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,170000000
The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,1735,,en,60.034162,01-07-2008,401128639,112,5.2,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,145000000
Suicide Squad,Action Adventure Crime Fantasy Science Fiction,297761,dc comics shared universe anti hero secret mission villain,en,90.23792,02-08-2016,745000000,123,5.9,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,175000000
Evan Almighty,Fantasy Comedy Family,2698,father son relationship daily life married couple support father,en,27.082182,09-06-2007,173000000,96,5.3,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,175000000
Edge of Tomorrow,Action Science Fiction,137113,deja vu time warp restart dystopia war,en,79.456485,27-05-2014,370541256,113,7.6,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,178000000
Waterworld,Adventure Action,9804,ocean tattoo mutant water dystopia,en,44.640292,28-07-1995,264218220,135,5.9,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,175000000
G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,14869,terrorist secret hostage technology warhead,en,32.852443,04-08-2009,302469017,118,5.6,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,175000000
Inside Out,Drama Comedy Animation Family,150540,dream cartoon imaginary friend animation family,en,128.655964,09-06-2015,857611174,94,8,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,175000000
The Jungle Book,Family Adventure Drama Fantasy,278927,based on novel snake wolf elephant tiger,en,94.199316,07-04-2016,966550600,106,6.7,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,175000000
Iron Man 2,Adventure Action Science Fiction,10138,malibu marvel comic superhero based on comic book revenge,en,77.300194,28-04-2010,623933331,124,6.6,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,200000000
Snow White and the Huntsman,Adventure Fantasy Drama,58595,queen magic fairy tale immortality forest,en,77.178973,30-05-2012,396600000,127,5.8,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,170000000
Maleficent,Fantasy Adventure Action Family Romance,102651,fairy tale villain sleeping beauty dark fantasy based on fairy tale,en,110.620647,28-05-2014,758539785,97,7,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,180000000
Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,119450,leader colony post-apocalyptic dystopia forest,en,243.791743,26-06-2014,710644566,130,7.3,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,170000000
The Lovers,Action Adventure Science Fiction Romance,79698,,en,2.418535,13-02-2015,0,109,4.8,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,27000000
47 Ronin,Drama Action Adventure Fantasy,64686,japan suicide samurai based on true story samurai sword,en,41.796339,06-12-2013,150962475,119,5.9,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,175000000
Captain America: The Winter Soldier,Action Adventure Science Fiction,100402,washington d.c. future shield marvel comic superhero,en,72.225265,20-03-2014,714766572,136,7.6,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,170000000
Shrek Forever After,Comedy Adventure Fantasy Animation Family,10192,ogre 3d,en,44.041186,16-05-2010,752600867,93,6,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,165000000
Tomorrowland,Adventure Family Mystery Science Fiction,158852,inventor apocalypse destiny imax dreamer,en,130.311355,19-05-2015,209154322,130,6.2,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,190000000
Big Hero 6,Adventure Family Animation Action Comedy,177572,brother brother relationship hero talent revenge best friend,en,203.73459,24-10-2014,652105443,102,7.8,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,165000000
Wreck-It Ralph,Family Animation Comedy Adventure,82690,support group product placement bullying racing arcade,en,62.341073,01-11-2012,471222889,108,7.1,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,165000000
The Polar Express,Adventure Animation Family Fantasy,5255,santa claus nerd faith gift bell,en,47.323228,10-11-2004,305875730,100,6.4,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,165000000
Independence Day: Resurgence,Action Adventure Science Fiction,47933,alternate history alien invasion,en,48.775723,22-06-2016,389681935,120,4.9,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,165000000
How to Train Your Dragon,Fantasy Adventure Animation Family,10191,flying blacksmith arena island night,en,67.263269,05-03-2010,494878759,98,7.5,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,165000000
Terminator 3: Rise of the Machines,Action Thriller Science Fiction,296,saving the world artificial intelligence man vs machine cyborg killer robot,en,69.405188,02-07-2003,435000000,109,5.9,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,200000000
Guardians of the Galaxy,Action Science Fiction Adventure,118340,marvel comic spaceship space outer space orphan,en,481.098624,30-07-2014,773328629,121,7.9,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,170000000
Interstellar,Adventure Drama Science Fiction,157336,saving the world artificial intelligence father son relationship single parent nasa,en,724.247784,05-11-2014,675120017,169,8.1,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,165000000
Inception,Action Thriller Science Fiction Mystery Adventure,27205,loss of lover dream kidnapping sleep subconsciousness,en,167.58371,14-07-2010,825532764,148,8.1,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,160000000
Shin Godzilla,Action Adventure Drama Horror Science Fiction,315011,monster godzilla giant monster destruction kaiju,ja,9.476999,29-07-2016,77000000,120,6.5,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,15000000
The Hobbit: An Unexpected Journey,Adventure Fantasy Action,49051,riddle elves dwarves orcs middle-earth (tolkien),en,108.849621,26-11-2012,1021103568,169,7,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,250000000
The Fast and the Furious,Action Crime Thriller,9799,street gang car race undercover auto-tuning los angeles,en,6.909942,22-06-2001,207283925,106,6.6,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,38000000
The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance,4922,diary navy funeral tea travel,en,60.269279,24-11-2008,333932083,166,7.3,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,150000000
X-Men: First Class,Action Science Fiction Adventure,49538,cia mutant mine marvel comic superhero,en,3.195174,24-05-2011,353624124,132,7.1,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,160000000
The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction,131634,revolution strong woman dystopia game of death 3d,en,127.284427,18-11-2015,653428261,137,6.6,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,160000000
The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama,27022,witch fire wolf fountain magic,en,35.580815,13-07-2010,215283742,109,5.8,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,150000000
Poseidon,Adventure Action Drama Thriller,503,new year's eve fire drowning cataclysm loss of father,en,21.133748,12-05-2006,181674817,99,5.5,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,160000000
Alice Through the Looking Glass,Fantasy,241259,based on novel clock queen sequel alice in wonderland,en,56.268916,25-05-2016,299370084,113,6.5,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,170000000
Shrek the Third,Fantasy Adventure Animation Comedy Family,810,ambush sadness stage liberation of prisoners island,en,42.986467,17-05-2007,798958165,93,6,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,160000000
Warcraft,Action Adventure Fantasy,68735,video game elves orcs magic chase,en,63.148529,25-05-2016,433677183,123,6.3,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,160000000
Terminator Genisys,Science Fiction Action Thriller Adventure,87101,saving the world artificial intelligence cyborg killer robot future,en,202.042635,23-06-2015,440603537,126,5.8,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,155000000
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,10140,based on novel magic good vs evil king narnia,en,49.661984,13-08-2010,415686217,113,6.2,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,155000000
Pearl Harbor,History Romance War,676,nurse patriotism hawaii world war ii pilot,en,34.20669,21-05-2001,449220945,183,6.6,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,140000000
Transformers,Adventure Science Fiction Action,1858,destroy transformation alien based on toy transformers,en,25.468493,27-06-2007,709709780,144,6.6,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,150000000
Alexander,War History Action Adventure Drama,1966,aristotle egypt greece persia elephant,en,39.019229,21-11-2004,167298192,175,5.6,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,155000000
Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery,675,prophecy witch loss of lover magic cutting the cord,en,78.144395,28-06-2007,938212738,138,7.4,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,150000000
Harry Potter and the Goblet of Fire,Adventure Fantasy Family,674,magic dying and death broom sorcerer's apprentice school of witchcraft,en,101.250416,05-11-2005,895921036,157,7.5,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,150000000
Hancock,Fantasy Action,8960,flying alcohol love of one's life forbidden love lovers,en,56.758411,01-07-2008,624029371,92,6.2,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,150000000
I Am Legend,Drama Horror Action Thriller Science Fiction,6479,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,en,70.867401,14-12-2007,585349010,101,6.9,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,150000000
Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy,118,london england father son relationship chocolate factory worker based on novel,en,53.905592,13-07-2005,474968763,115,6.7,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,150000000
Ratatouille,Animation Comedy Family Fantasy,2062,paris brother brother relationship expensive restaurant river cook,en,65.677399,22-06-2007,623722818,111,7.5,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,150000000
Batman Begins,Action Crime Drama,272,himalaya martial arts dc comics crime fighter secret identity,en,115.040024,10-06-2005,374218673,140,7.5,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,150000000
Madagascar: Escape 2 Africa,Family Animation,10527,africa jealousy dance hunger lion,en,44.141021,30-10-2008,603900354,89,6.2,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,150000000
Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family,18360,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,en,81.781591,20-05-2009,413106170,105,5.9,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,150000000
X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction,2080,corruption mutant boxer army marvel comic,en,5.954334,28-04-2009,373062864,107,6.2,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,150000000
